Производитель;Серия;Типоразмер;Взрывозащита;Материал;Цвет(RAL);Температура минимальная;Температура максимальная;IP;Крепление;8;9;10;Ширина;Длина;Глубина;Масса;Толщина стенки;Зона Сверловки AB Ш;Зона Сверловки БГ Ш;Внутренние размеры AB;Внутренние размеры БГ;Межосевое расстояние для DIN;Кол-во отверстий;Расстояния болтов вдоль АВ;Расстояния болтов вдоль БГ;Количество болтов;Внутренняя высота коробки;Маркировка взрывозащиты;Наличие
ВЗОР;ВН;202012;Exe;Нержавейка;7042;-60;130;66;;;;;202.4;202.4;123.4;02.июл;01.май;;;200;200;;;;;;83.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;302012;Exe;Нержавейка;7042;-60;130;66;;;;;302.4;202.4;122.4;фев.71;01.май;;;300;200;;;;;;82.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;303012;Exe;Нержавейка;7042;-60;130;66;;;;;302.4;302.4;123.4;мар.57;01.май;;;300;300;;;;;;83.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;303015;Exe;Нержавейка;7042;-60;130;66;;;;;302.4;302.4;152.4;мар.90;01.май;;;300;300;;;;;;112.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;304015;Exe;Нержавейка;7042;-60;130;66;;;;;302.4;402.4;152.4;апр.79;01.май;;;300;400;;;;;;112.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;313121;Exe;Нержавейка;7042;-60;130;66;;;;;308.4;308.4;207.4;апр.64;01.май;;;306;306;;;;;;167.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;382621;Exe;Нержавейка;7042;-60;130;66;;;;;382.4;262.4;207.4;апр.86;01.май;;;380;260;;;;;;167.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;402012;Exe;Нержавейка;7042;-60;130;66;;;;;402.4;202.4;123.4;мар.38;01.май;;;400;200;;;;;;83.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;402015;Exe;Нержавейка;7042;-60;130;66;;;;;402.4;202.4;152.4;мар.71;01.май;;;400;200;;;;;;112.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;403012;Exe;Нержавейка;7042;-60;130;66;;;;;402.4;302.4;122.4;апр.40;01.май;;;400;300;;;;;;82.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;403016;Exe;Нержавейка;7042;-60;130;66;;;;;402.4;302.4;163.4;апр.94;01.май;;;400;300;;;;;;123.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;404020;Exe;Нержавейка;7042;-60;130;66;;;;;402.4;402.4;202.4;июн.64;01.май;;;400;400;;;;;;162.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;504016;Exe;Нержавейка;7042;-60;130;66;;;;;502.4;402.4;163.4;июл.18;01.май;;;500;400;;;;;;123.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
ВЗОР;ВН;604020;Exe;Нержавейка;7042;-60;130;66;;;;;602.4;402.4;202.4;09.мар;01.май;;;600;400;;;;;;162.4;"1Ex e IIC;0Ex ia IIC;1Ex ib IIB;1Ex e[ia Ga] IIC;1Ex e mb IIC;1Ex e db IIC;1Ex e db mb IIC;1Ex e db [ia Ga] IIC;1Ex e db [ib] IIC;1Ex e mb ia IIC;1Ex e db mb ia IIC;--Ex tb IIIC;Ex ta IIIC;--РО Ex ia I;РП Ex e I;РП Ex e db I;РП Ex e db ia I;";
